,dp,Simulation,Diversity
111,15,REvoSim_individuals_data_envw50_15dp_aj1099.txt,13.30420674832544
112,15,REvoSim_individuals_data_envw50_15dp_aj11.txt,3.784053396802401
113,15,REvoSim_individuals_data_envw50_15dp_aj110.txt,5.838327764749828
114,15,REvoSim_individuals_data_envw50_15dp_aj1100.txt,3.752753218551264
115,15,REvoSim_individuals_data_envw50_15dp_aj1101.txt,4.433379184809027
116,15,REvoSim_individuals_data_envw50_15dp_aj1102.txt,7.914333281306904
117,15,REvoSim_individuals_data_envw50_15dp_aj1103.txt,0.0
118,15,REvoSim_individuals_data_envw50_15dp_aj1104.txt,3.7877436748237248
119,15,REvoSim_individuals_data_envw50_15dp_aj1105.txt,8.925613424591488
120,15,REvoSim_individuals_data_envw50_15dp_aj1106.txt,5.800381794853071
121,15,REvoSim_individuals_data_envw50_15dp_aj1107.txt,6.093855223215673
122,15,REvoSim_individuals_data_envw50_15dp_aj1108.txt,4.653335409853086
123,15,REvoSim_individuals_data_envw50_15dp_aj1109.txt,3.7624435558035483
124,15,REvoSim_individuals_data_envw50_15dp_aj111.txt,6.457871408350295
125,15,REvoSim_individuals_data_envw50_15dp_aj1110.txt,0.0
126,15,REvoSim_individuals_data_envw50_15dp_aj1111.txt,15.046506081564512
127,15,REvoSim_individuals_data_envw50_15dp_aj1112.txt,7.503572285323904
128,15,REvoSim_individuals_data_envw50_15dp_aj1113.txt,8.618125201778778
129,15,REvoSim_individuals_data_envw50_15dp_aj1114.txt,5.916209663152856
130,15,REvoSim_individuals_data_envw50_15dp_aj1115.txt,11.639747542076321
131,15,REvoSim_individuals_data_envw50_15dp_aj1116.txt,4.239055317471023
132,15,REvoSim_individuals_data_envw50_15dp_aj1117.txt,7.778256066038522
133,15,REvoSim_individuals_data_envw50_15dp_aj1118.txt,7.284619929718355
134,15,REvoSim_individuals_data_envw50_15dp_aj1119.txt,5.836029946968909
135,15,REvoSim_individuals_data_envw50_15dp_aj112.txt,8.611114010458525
136,15,REvoSim_individuals_data_envw50_15dp_aj1120.txt,15.239394791959736
137,15,REvoSim_individuals_data_envw50_15dp_aj1121.txt,21.333832366456658
138,15,REvoSim_individuals_data_envw50_15dp_aj1122.txt,3.586374241717219
139,15,REvoSim_individuals_data_envw50_15dp_aj1123.txt,9.619042171493943
140,15,REvoSim_individuals_data_envw50_15dp_aj1124.txt,4.777018523718889
141,15,REvoSim_individuals_data_envw50_15dp_aj1125.txt,5.019691027803359
142,15,REvoSim_individuals_data_envw50_15dp_aj1126.txt,7.921620183428804
143,15,REvoSim_individuals_data_envw50_15dp_aj1127.txt,8.398607175347422
144,15,REvoSim_individuals_data_envw50_15dp_aj1128.txt,6.313954815744959
145,15,REvoSim_individuals_data_envw50_15dp_aj1129.txt,0.0
146,15,REvoSim_individuals_data_envw50_15dp_aj113.txt,3.5822971068556746
147,15,REvoSim_individuals_data_envw50_15dp_aj1130.txt,11.27197362223269
148,15,REvoSim_individuals_data_envw50_15dp_aj1131.txt,5.301403807075022
149,15,REvoSim_individuals_data_envw50_15dp_aj1132.txt,5.577645936190516
150,15,REvoSim_individuals_data_envw50_15dp_aj1133.txt,4.075935220158327
151,15,REvoSim_individuals_data_envw50_15dp_aj1134.txt,4.610990562609661
152,15,REvoSim_individuals_data_envw50_15dp_aj1135.txt,4.30982748795524
153,15,REvoSim_individuals_data_envw50_15dp_aj1136.txt,4.803259219480962
154,15,REvoSim_individuals_data_envw50_15dp_aj1137.txt,17.948039658924834
155,15,REvoSim_individuals_data_envw50_15dp_aj1138.txt,4.8516321709903325
156,15,REvoSim_individuals_data_envw50_15dp_aj1139.txt,9.21246081751182
157,15,REvoSim_individuals_data_envw50_15dp_aj114.txt,4.43917542825833
158,15,REvoSim_individuals_data_envw50_15dp_aj1140.txt,2.712144468595799
159,15,REvoSim_individuals_data_envw50_15dp_aj1141.txt,5.178818359781748
160,15,REvoSim_individuals_data_envw50_15dp_aj1142.txt,6.82583206675145
161,15,REvoSim_individuals_data_envw50_15dp_aj1143.txt,7.855773657556607
162,15,REvoSim_individuals_data_envw50_15dp_aj1144.txt,4.573818602680555
163,15,REvoSim_individuals_data_envw50_15dp_aj1145.txt,6.706368305361961
164,15,REvoSim_individuals_data_envw50_15dp_aj1146.txt,6.19481708903575
165,15,REvoSim_individuals_data_envw50_15dp_aj1147.txt,6.782344528077337
166,15,REvoSim_individuals_data_envw50_15dp_aj1148.txt,6.581027544360809
167,15,REvoSim_individuals_data_envw50_15dp_aj1149.txt,3.9703242827762426
168,15,REvoSim_individuals_data_envw50_15dp_aj115.txt,7.891033864188646
169,15,REvoSim_individuals_data_envw50_15dp_aj1150.txt,4.4685534915898275
170,15,REvoSim_individuals_data_envw50_15dp_aj1151.txt,5.544087853632689
171,15,REvoSim_individuals_data_envw50_15dp_aj1152.txt,3.1602302265131823
172,15,REvoSim_individuals_data_envw50_15dp_aj1153.txt,6.780459602483437
173,15,REvoSim_individuals_data_envw50_15dp_aj1154.txt,10.152095221205704
174,15,REvoSim_individuals_data_envw50_15dp_aj1155.txt,5.805405517484475
175,15,REvoSim_individuals_data_envw50_15dp_aj1156.txt,15.325433218087051
176,15,REvoSim_individuals_data_envw50_15dp_aj1157.txt,5.2501452041154995
177,15,REvoSim_individuals_data_envw50_15dp_aj1158.txt,7.297831179152549
178,15,REvoSim_individuals_data_envw50_15dp_aj1159.txt,8.08411799668408
179,15,REvoSim_individuals_data_envw50_15dp_aj116.txt,6.358133120418088
180,15,REvoSim_individuals_data_envw50_15dp_aj1160.txt,4.014025725942921
181,15,REvoSim_individuals_data_envw50_15dp_aj1161.txt,6.759877149363809
182,15,REvoSim_individuals_data_envw50_15dp_aj1162.txt,5.641407644105075
183,15,REvoSim_individuals_data_envw50_15dp_aj1163.txt,6.9206421543241845
184,15,REvoSim_individuals_data_envw50_15dp_aj1164.txt,7.858848760580097
185,15,REvoSim_individuals_data_envw50_15dp_aj1165.txt,4.134909366028584
186,15,REvoSim_individuals_data_envw50_15dp_aj1166.txt,8.767587192621882
187,15,REvoSim_individuals_data_envw50_15dp_aj1167.txt,5.600658004331168
188,15,REvoSim_individuals_data_envw50_15dp_aj1168.txt,6.357502988720827
189,15,REvoSim_individuals_data_envw50_15dp_aj1169.txt,0.0
190,15,REvoSim_individuals_data_envw50_15dp_aj117.txt,5.321716152389672
191,15,REvoSim_individuals_data_envw50_15dp_aj1170.txt,7.042294811739053
192,15,REvoSim_individuals_data_envw50_15dp_aj1171.txt,6.25570823863044
